month,year,Factory,Cycle Time (minutes),Product Category,Waste Generated (kg),Production Volume (units),Water Usage (liters),Machine Utilization (%),Machine Age (years),Machine Type,Supplier,Operator Experience (years),Revenue ($)
1,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
1,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
1,2020,0,20,1,300,617.54,6000,53,8.89,1,0,5.65,370480.16
1,2020,0,10,0,100,710.21,2000,59,6.34,0,2,3.95,355045.91
1,2020,0,30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
1,2020,0,20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
1,2020,0,30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
1,2020,0,30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
1,2020,0,30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
1,2020,0,10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
1,2020,0,10,0,100,643.46,2000,59,6.34,0,2,6.15,321677.48
1,2020,0,30,2,500,580.57,10000,57,7.05,2,2,5.12,464425.26
1,2020,0,30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
1,2020,0,30,2,500,611.27,10000,57,7.05,2,2,3.65,488983.97
1,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
1,2020,0,30,2,500,609.17,10000,57,7.05,2,2,5.58,487300.28
1,2020,0,10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
1,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
1,2020,0,20,1,300,660.69,6000,53,8.89,1,0,4.3,396366.16
1,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
1,2020,0,10,0,100,658.16,2000,59,6.34,0,2,5.22,329027.06
1,2020,0,20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
1,2020,0,20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
1,2020,0,30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
1,2020,0,10,0,100,717.06,2000,59,6.34,0,2,3.82,358469.96
1,2020,0,10,0,100,678.21,2000,59,6.34,0,2,4.7,339049.8
1,2020,0,30,2,500,592.77,10000,57,7.05,2,2,5.95,474181.9
1,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
1,2020,0,10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
1,2020,0,10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
1,2020,0,10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
1,2020,0,30,2,500,580.37,10000,57,7.05,2,2,5.12,464265.29
1,2020,0,20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
1,2020,0,30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
1,2020,0,20,1,300,669.44,6000,53,8.89,1,0,3.9,401615.63
1,2020,0,20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
1,2020,0,30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
1,2020,0,20,1,300,604.04,6000,53,8.89,1,0,5.08,362383.44
1,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
1,2020,0,30,2,500,619.47,10000,57,7.05,2,2,5.15,495539.64
1,2020,0,20,1,300,629.29,6000,53,8.89,1,0,5.22,377529.21
1,2020,0,10,0,100,665.06,2000,59,6.34,0,2,4.7,332477.06
1,2020,0,20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
1,2020,0,30,2,500,660.47,10000,57,7.05,2,2,3.95,528336.05
1,2020,0,20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
1,2020,0,20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
1,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
1,2020,0,10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
1,2020,0,20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
1,2020,0,30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
1,2020,0,30,2,500,594.32,10000,57,7.05,2,2,6.15,475421.28
1,2020,0,30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
1,2020,0,20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
1,2020,0,30,2,500,611.77,10000,57,7.05,2,2,3.65,489383.92
1,2020,0,10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
1,2020,0,30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
1,2020,0,10,0,100,663.36,2000,59,6.34,0,2,4.92,331626.82
1,2020,0,30,2,500,583.17,10000,57,7.05,2,2,5.08,466504.99
1,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
1,2020,0,10,0,100,669.21,2000,59,6.34,0,2,5.15,334550.33
1,2020,0,20,1,300,629.29,6000,53,8.89,1,0,5.22,377529.21
1,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
1,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
1,2020,0,10,0,100,710.31,2000,59,6.34,0,2,3.95,355095.89
1,2020,0,20,1,300,687.89,6000,53,8.89,1,0,3.82,412682.69
1,2020,0,30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
1,2020,0,10,0,100,642.01,2000,59,6.34,0,2,5.95,320953.18
1,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
1,2020,0,20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
1,2020,0,20,1,300,622.99,6000,53,8.89,1,0,4.6,373751.53
1,2020,0,10,0,100,643.76,2000,59,6.34,0,2,6.15,321827.45
1,2020,0,20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
1,2020,0,20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
1,2020,0,20,1,300,632.24,6000,53,8.89,1,0,3.65,379302.13
1,2020,0,30,2,500,648.87,10000,57,7.05,2,2,3.9,519057.95
1,2020,0,30,2,500,609.17,10000,57,7.05,2,2,5.58,487300.27
1,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
1,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
1,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
1,2020,0,10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
1,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
1,2020,0,10,0,100,664.66,2000,59,6.34,0,2,4.7,332277.1
1,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
1,2020,0,20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
1,2020,0,20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
1,2020,0,10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
1,2020,0,30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
1,2020,0,10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
1,2020,0,20,1,300,623.29,6000,53,8.89,1,0,5.03,373930.58
1,2020,0,10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
1,2020,0,10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
1,2020,0,20,1,300,600.94,6000,53,8.89,1,0,5.12,360523.79
1,2020,0,30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
2,2020,0,10,0,100,661.01,2000,59,6.34,0,2,3.65,330455.11
2,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
2,2020,0,30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
2,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
2,2020,0,10,0,100,633.01,2000,59,6.34,0,2,5.08,316456.57
2,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
2,2020,0,20,1,300,640.34,6000,53,8.89,1,0,5.15,384157.6
2,2020,0,30,2,500,608.72,10000,57,7.05,2,2,5.22,486941.08
2,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
2,2020,0,10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
2,2020,0,20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
2,2020,0,30,2,500,667.62,10000,57,7.05,2,2,3.82,534055.21
2,2020,0,20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
2,2020,0,30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
2,2020,0,10,0,100,613.26,2000,59,6.34,0,2,5.78,306583.26
2,2020,0,10,0,100,652.16,2000,59,6.34,0,2,5.03,326028.51
2,2020,0,10,0,100,651.36,2000,59,6.34,0,2,4.6,325629.56
2,2020,0,10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
2,2020,0,20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
2,2020,0,30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
2,2020,0,10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
2,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
2,2020,0,20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
2,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
2,2020,0,20,1,300,603.64,6000,53,8.89,1,0,5.08,362143.47
2,2020,0,30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
2,2020,0,10,0,100,669.21,2000,59,6.34,0,2,5.15,334550.33
2,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
2,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
2,2020,0,20,1,300,617.54,6000,53,8.89,1,0,5.65,370480.16
2,2020,0,30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
2,2020,0,30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
2,2020,0,30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
2,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
2,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
2,2020,0,30,2,500,602.72,10000,57,7.05,2,2,5.03,482142.36
2,2020,0,10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
2,2020,0,30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
2,2020,0,10,0,100,629.81,2000,59,6.34,0,2,5.12,314856.98
2,2020,0,20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
2,2020,0,10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
2,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
2,2020,0,20,1,300,629.74,6000,53,8.89,1,0,5.58,377798.39
2,2020,0,30,2,500,614.22,10000,57,7.05,2,2,4.92,491340.9
2,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
2,2020,0,30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
2,2020,0,30,2,500,619.77,10000,57,7.05,2,2,5.15,495779.62
2,2020,0,10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
2,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
2,2020,0,30,2,500,596.87,10000,57,7.05,2,2,5.65,477461.91
2,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
2,2020,0,30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
2,2020,0,30,2,500,628.77,10000,57,7.05,2,2,4.7,502979.23
2,2020,0,30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
2,2020,0,20,1,300,584.39,6000,53,8.89,1,0,5.78,350594.97
2,2020,0,20,1,300,623.19,6000,53,8.89,1,0,5.03,373870.59
2,2020,0,20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.55
2,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
2,2020,0,30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
2,2020,0,10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
2,2020,0,30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
2,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
2,2020,0,30,2,500,609.47,10000,57,7.05,2,2,5.58,487540.24
2,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
2,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
2,2020,0,30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
2,2020,0,30,2,500,619.77,10000,57,7.05,2,2,5.15,495779.61
2,2020,0,30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
2,2020,0,20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
2,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
2,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
2,2020,0,30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
2,2020,0,10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
2,2020,0,20,1,300,613.54,6000,53,8.89,1,0,5.95,368080.17
2,2020,0,20,1,300,584.29,6000,53,8.89,1,0,5.78,350534.98
2,2020,0,30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
2,2020,0,10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
2,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
2,2020,0,20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
2,2020,0,20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
2,2020,0,10,0,100,660.81,2000,59,6.34,0,2,3.65,330355.13
2,2020,0,20,1,300,669.34,6000,53,8.89,1,0,3.9,401555.64
2,2020,0,20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
2,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
2,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
2,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
2,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
3,2020,0,30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
3,2020,0,20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
3,2020,0,10,0,100,646.41,2000,59,6.34,0,2,5.65,323153.1
3,2020,0,10,0,100,710.31,2000,59,6.34,0,2,3.95,355095.89
3,2020,0,20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
3,2020,0,30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
3,2020,0,30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
3,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
3,2020,0,10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
3,2020,0,20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.54
3,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
3,2020,0,20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
3,2020,0,10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
3,2020,0,10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
3,2020,0,10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
3,2020,0,30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
3,2020,0,20,1,300,634.79,6000,53,8.89,1,0,4.92,380828.98
3,2020,0,10,0,100,633.01,2000,59,6.34,0,2,5.08,316456.57
